FID,Id,gridcode,Shape__Area,Shape__Length,SHAPE
1,1,0,2004827007063.2715,5689755.374294251,"{'rings': [[[1781111.85264789, 14927396.2516027], [1558472.87110584, 14927396.2516027], [445277.963195349, 14927396.2516027], [222638.981553181, 14927396.2516027], [222638.981553181, 16213801.0676551], [1781111.85264789, 16213801.0676551], [1781111.85264789, 14927396.2516027]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
2,2,-1,238959675023.15625,2591889.2463634536,"{'rings': [[[-8905559.263473, 13854090.6100631], [-8905559.263473, 14927396.2516027], [-8682920.28183084, 14927396.2516027], [-8682920.28183084, 13854090.6100631], [-8905559.263473, 13854090.6100631]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
3,3,2,1194798374793.4395,4373001.098900103,"{'rings': [[[1558472.87110584, 13854090.6100631], [445277.963195349, 13854090.6100631], [445277.963195349, 14927396.2516027], [1558472.87110584, 14927396.2516027], [1558472.87110584, 13854090.6100631]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
4,4,1,238959674915.70703,2591889.2461632295,"{'rings': [[[1781111.85264789, 13854090.6100631], [1558472.87110584, 13854090.6100631], [1558472.87110584, 14927396.2516027], [1781111.85264789, 14927396.2516027], [1781111.85264789, 13854090.6100631]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
5,5,1,683158538008.2231,4880862.205245874,"{'rings': [[[222638.981553181, 12932243.112164], [1.11305657984171e-05, 12932243.112164], [1.11305657984171e-05, 14927396.2516027], [222638.981553181, 14927396.2516027], [445277.963195349, 14927396.2516027], [445277.963195349, 13854090.6100631], [222638.981553181, 13854090.6100631], [222638.981553181, 12932243.112164]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
6,6,2,205239188161.64893,2288972.959082645,"{'rings': [[[222638.981553181, 12932243.112164], [222638.981553181, 13854090.6100631], [445277.963195349, 13854090.6100631], [445277.963195349, 12932243.112164], [222638.981553181, 12932243.112164]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
7,7,2,205239188069.35156,2288972.958882409,"{'rings': [[[1781111.85264789, 12932243.112164], [1558472.87110584, 12932243.112164], [1558472.87110584, 13854090.6100631], [1781111.85264789, 13854090.6100631], [1781111.85264789, 12932243.112164]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
8,8,1,410478376231.0039,2734250.922166745,"{'rings': [[[2226389.8158321, 12932243.112164], [2003750.83429005, 12932243.112164], [1781111.85264789, 12932243.112164], [1781111.85264789, 13854090.6100631], [2226389.8158321, 13854090.6100631], [2226389.8158321, 12932243.112164]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
9,9,1,1026195940531.3633,4070084.8116192836,"{'rings': [[[3784862.68692681, 12932243.112164], [2671667.77901632, 12932243.112164], [2671667.77901632, 13854090.6100631], [3784862.68692681, 13854090.6100631], [3784862.68692681, 12932243.112164]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
10,10,1,360125318781.0869,2508086.3167887954,"{'rings': [[[-222638.981631038, 12123477.9168537], [-445277.963173088, 12123477.9168537], [-667916.944715144, 12123477.9168537], [-667916.944715144, 12932243.112164], [-222638.981631038, 12932243.112164], [-222638.981631038, 12123477.9168537]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
